"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"PHLDA1",452.699428474929,2.05928161538868,1.49482169478815,0.261420564046574,3.34598556548878e-15,4.51473832351401e-11,"up_in_AD"
"SLC44A2",609.656032584673,-1.36294283411275,-0.987922956449584,0.2556661998596,9.77021996107221e-08,0.000659147889673737,"down_in_AD"
"ALK",73.0987330311634,2.79358024301812,1.05250282432386,0.544833612878489,2.93769850229082e-07,0.001321278863047,"up_in_AD"
"KCNQ3",1821.821551555,-1.15563492716977,-0.884538123717455,0.230351577103777,5.25307437411036e-07,0.00177199331324678,"down_in_AD"
"LRRC4",752.558020182012,-1.31787160193695,-0.927253762683137,0.268888669811049,9.52630259540251e-07,0.00257076801839532,"down_in_AD"
"LOXL1",23.8267346339205,-21.0856336501059,-0.0243748509354058,4.40921149262268,1.73406128161044e-06,0.00389961481212827,"down_in_AD"
"EIF1AY",33.0091434623234,-20.4528398050507,-0.0244086466536649,4.40870885702746,3.49776697036705e-06,0.00674219567588037,"down_in_AD"
"PLOD2",98.7369750787215,-2.55163466849774,-0.840153920270465,0.560258977687182,5.25392420910818e-06,0.00806524870258364,"down_in_AD"
"ECHDC3",34.4951901336835,-5.61365704478453,-0.725485746942222,1.2339304467664,5.37962190196789e-06,0.00806524870258364,"down_in_AD"
"CKB",208.481740589696,-2.18532551528104,-0.873352685476546,0.485010813194607,6.61465987107515e-06,0.00831349010148312,"down_in_AD"
"ZFP3",132.253540323294,-2.2918745731735,-0.864649405660397,0.50924209596118,6.77746914076293e-06,0.00831349010148312,"down_in_AD"
"LRP8",335.089196289851,1.17916403289045,0.836975895557888,0.270970507666454,1.35127699814554e-05,0.0151939837799815,"up_in_AD"
"RYR1",660.631309442244,-1.71192289798269,-0.869359269918621,0.398080635265142,1.70457366923937e-05,0.0176921634761899,"down_in_AD"
"TRO",49.8605647179638,-3.13954063224719,-0.686650491421863,0.734629856727385,1.92310858245279e-05,0.0185346457878825,"down_in_AD"
"AP1S2",1361.15156256455,1.40618375692146,0.868291729853368,0.335168303537069,2.72323556251493e-05,0.0244964116300093,"up_in_AD"
"CLEC5A",1014.9796239477,2.98652014778127,0.728013776536221,0.726394221871234,3.93213393299221e-05,0.0315384556144093,"up_in_AD"
"PTPRE",1128.02579209152,1.04322101205082,0.767581033013773,0.253886150162585,3.97356959493781e-05,0.0315384556144093,"up_in_AD"
"TRDN",218.398618407875,-2.60911653314494,-0.674472700154781,0.638775631819288,4.4160671521269e-05,0.0324359646724442,"down_in_AD"
"MID1IP1",844.589341443099,1.27011474937687,0.825391486605998,0.311994227526887,4.68206082297582e-05,0.0324359646724442,"up_in_AD"
"DRAM1",385.258922630723,0.986893736687992,0.742147006462659,0.242939294594721,4.85903397189499e-05,0.0324359646724442,"up_in_AD"
"GYPC",476.068083014399,-2.01860097001652,-0.778219147267699,0.49800393046213,5.04821209605965e-05,0.0324359646724442,"down_in_AD"
"SLIT3",437.548008993407,1.37828688798005,0.837237330787214,0.342143335499078,5.61600588965532e-05,0.034443985213236,"up_in_AD"
"HSPG2",430.542790128765,-3.26260679891405,-0.506242686539647,0.814186128962043,6.14427855881306e-05,0.0360455437365499,"down_in_AD"
"RTN4RL1",98.6439611075393,-2.3722832744991,-0.714216997020385,0.596059001783186,6.89306155494005e-05,0.0387533664836692,"down_in_AD"
"ZNF132",34.8962840510989,-4.29618013772358,-0.463555671162068,1.0840176698398,7.39514035209256e-05,0.039913051508314,"down_in_AD"
"ABCC6",153.896417657959,-1.19461719003413,-0.782209745515498,0.302341109689745,7.77527842676564e-05,0.0403507045432111,"down_in_AD"
"EPAS1",1530.61985800539,-1.61122590702632,-0.787978772557541,0.413107239191998,9.60891836941725e-05,0.0457723957347873,"down_in_AD"
"SFMBT2",1194.85435089367,-0.980832790254352,-0.718440819287908,0.251610516584203,9.69029303424572e-05,0.0457723957347873,"down_in_AD"
"EIF1AX",1058.21895779829,1.07140364656685,0.75407484241798,0.275102574459469,9.83768973770719e-05,0.0457723957347873,"up_in_AD"
"GSTT1",161.898351696928,-1.41521024715079,-0.781876409486135,0.370498668365738,0.000133589986111701,0.0568140671864929,"down_in_AD"
"ZNF483",311.614137219903,-1.79533484064007,-0.754875110427398,0.470274812230235,0.000134740246792246,0.0568140671864929,"down_in_AD"
"KIAA1217",110.999963323105,-2.23486210324906,-0.683724130927131,0.590089128852598,0.000152274964214289,0.0622620027922242,"down_in_AD"
"GPA33",182.838900467586,-2.64491201888895,-0.582913282532389,0.702309569759152,0.000165870385153228,0.0646203180383344,"down_in_AD"
"HOPX",48.6256677540819,-6.12795984858237,-0.253152438779442,1.62830563748623,0.000167621072507352,0.0646203180383344,"down_in_AD"
"NEO1",173.058615643927,-1.79973253361876,-0.740411724564895,0.480764577814885,0.000181489126881518,0.06802313302812,"down_in_AD"
"HTRA1",1852.91105519872,-1.43332889838568,-0.759257912036871,0.384094534962995,0.000190185390490394,0.0693559857807266,"down_in_AD"
"SPRY4",115.041416599912,1.50441082980574,0.784846797938077,0.407899401208653,0.00022585424311649,0.0801960869044948,"up_in_AD"
"HAMP",18.922958262502,4.73715392677841,0.410673444512193,1.28942832044529,0.00023893195535099,0.082664330091049,"up_in_AD"
"LYNX1",239.748980435318,2.66761313367647,0.661039755603107,0.727463588460842,0.0002454073158704,0.0827820228259825,"up_in_AD"
"POLA1",369.499955223151,1.00997320687763,0.708855206920371,0.275999632960385,0.000252877425650543,0.0832213440073847,"up_in_AD"
"CCL2",791.257600155652,1.66831198988943,0.776643524445927,0.457326423543669,0.000264322928826348,0.0849168875869979,"up_in_AD"
"HLA-DQA1",440.525601109062,-3.02274505344534,-0.46255725990434,0.833617408320736,0.000287780768705593,0.0890523020851522,"down_in_AD"
"NR4A3",61.1692958592266,1.93104887760503,0.751315735407822,0.533228529212772,0.000292981026557418,0.0890523020851522,"up_in_AD"
"PHETA2",37.402731998954,-2.22948562055705,-0.679697202387396,0.616630855969085,0.00029966196822464,0.0890523020851522,"down_in_AD"
"TCEANC",72.6203027774058,1.37876439984311,0.763034246435888,0.381807156698202,0.000304837702117472,0.0890523020851522,"up_in_AD"
"PGA3",133.443087638063,-2.65366674741333,-0.543702722931686,0.735773797852333,0.000310194782331739,0.0890523020851522,"down_in_AD"
