"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"PHLDA1",452.699428474929,2.05928161538868,1.49482169478815,0.261420564046574,3.34598556548878e-15,4.51473832351401e-11,"up_in_AD"
"SLC44A2",609.656032584673,-1.36294283411275,-0.987922956449584,0.2556661998596,9.77021996107221e-08,0.000659147889673737,"down_in_AD"
"ALK",73.0987330311634,2.79358024301812,1.05250282432386,0.544833612878489,2.93769850229082e-07,0.001321278863047,"up_in_AD"
"KCNQ3",1821.821551555,-1.15563492716977,-0.884538123717455,0.230351577103777,5.25307437411036e-07,0.00177199331324678,"down_in_AD"
"LRRC4",752.558020182012,-1.31787160193695,-0.927253762683137,0.268888669811049,9.52630259540251e-07,0.00257076801839532,"down_in_AD"
"PLOD2",98.7369750787215,-2.55163466849774,-0.840153920270465,0.560258977687182,5.25392420910818e-06,0.00806524870258364,"down_in_AD"
"CKB",208.481740589696,-2.18532551528104,-0.873352685476546,0.485010813194607,6.61465987107515e-06,0.00831349010148312,"down_in_AD"
"ZFP3",132.253540323294,-2.2918745731735,-0.864649405660397,0.50924209596118,6.77746914076293e-06,0.00831349010148312,"down_in_AD"
"LRP8",335.089196289851,1.17916403289045,0.836975895557888,0.270970507666454,1.35127699814554e-05,0.0151939837799815,"up_in_AD"
"RYR1",660.631309442244,-1.71192289798269,-0.869359269918621,0.398080635265142,1.70457366923937e-05,0.0176921634761899,"down_in_AD"
"AP1S2",1361.15156256455,1.40618375692146,0.868291729853368,0.335168303537069,2.72323556251493e-05,0.0244964116300093,"up_in_AD"
"MID1IP1",844.589341443099,1.27011474937687,0.825391486605998,0.311994227526887,4.68206082297582e-05,0.0324359646724442,"up_in_AD"
"SLIT3",437.548008993407,1.37828688798005,0.837237330787214,0.342143335499078,5.61600588965532e-05,0.034443985213236,"up_in_AD"
