"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"A1BG",79.7851115893494,-0.348607285846369,-0.185614502452635,0.392354068703485,0.374270902333222,0.999997691821602,"down_in_AD"
"A1CF",13.3007427350838,-0.0114274462043622,-0.000922356140179976,1.4171048134262,0.993565977623339,0.999997691821602,"down_in_AD"
"A2M",28298.8861135974,-0.00403771692770247,-0.00172319486478956,0.487139924874388,0.99338671509959,0.999997691821602,"down_in_AD"
"AAAS",186.723109795309,0.103042345867976,0.0607593625504797,0.351054259142603,0.769122755875308,0.999997691821602,"up_in_AD"
"AACS",201.687578731129,0.512887818739411,0.241338840808488,0.449241729284805,0.253589351427001,0.999997691821602,"up_in_AD"
"AAGAB",252.520913452859,0.37435948961291,0.276947604488057,0.249945779297582,0.134194889698843,0.999997691821602,"up_in_AD"
"AAK1",1552.3319286845,-0.318990088283345,-0.189523231404074,0.345807323152319,0.356293713932128,0.999997691821602,"down_in_AD"
"AAMDC",64.9201373675388,-0.0301843893124008,-0.0106754883416922,0.56820541663896,0.957634448690764,0.999997691821602,"down_in_AD"
"AAMP",681.441888323386,0.0591963536123604,0.0478479577982488,0.204807498141347,0.772555272497494,0.999997691821602,"up_in_AD"
"AAR2",284.272291318411,-0.270833151564433,-0.180973343509648,0.295357404870364,0.359159652371636,0.999997691821602,"down_in_AD"
"AARD",83.8064792451617,0.0546761941595623,0.016605418587761,0.636929209341216,0.931590874040244,0.999997691821602,"up_in_AD"
"AARS1",2960.21682099293,-0.318896897511141,-0.249359883139202,0.22145660177028,0.149868177141405,0.999997691821602,"down_in_AD"
"AARS2",329.68981897413,0.37271285763992,0.234574484060366,0.323966705722734,0.249951764461798,0.999997691821602,"up_in_AD"
"AARSD1",43.8299067634848,-0.17776851891109,-0.0611451439210387,0.578768871170126,0.758729648276043,0.999997691821602,"down_in_AD"
"AASDH",136.052697392328,-0.287635105739288,-0.169648209809322,0.349525671527366,0.410547891139039,0.999997691821602,"down_in_AD"
"AASDHPPT",392.650986311393,-0.12391823714881,-0.096880528608725,0.221917935632211,0.576573543522603,0.999997691821602,"down_in_AD"
"AASS",78.6294010158373,-0.0266600387603621,-0.0132962289740129,0.421654675973864,0.94958559653251,0.999997691821602,"down_in_AD"
"AATF",370.425746028286,0.262183297559441,0.209573642955376,0.210914448113462,0.213838764813826,0.999997691821602,"up_in_AD"
"AATK",16.4917451888859,-1.33731718729683,-0.211158012388617,0.938770893522051,0.154290060929139,0.999997691821602,"down_in_AD"
