Library,pathway,ES,NES,NOM p-val,FDR q-val,Lead_genes
Hallmark,Epithelial Mesenchymal Transition,-0.5869784379948096,-2.58437356222093,0.0,0.0,LOXL1;PLOD2;HTRA1;COL1A1;LAMC1;COL3A1;MEST;COL1A2;COL4A1;COL5A2;LUM;FZD8;LOX;FSTL1;CALD1;COL11A1;COL4A2;PDLIM4;MYL9;COL12A1;FBLN1;MXRA5;FERMT2;CTHRC1;POSTN;MATN2;COMP;GPX7;BGN;DPYSL3;THBS2;GJA1;COL5A1;TNC;THBS1;TPM2;FMOD;PDGFRB;ELN;RGS4;DAB2;SNAI2;ECM1;FBLN2;THY1;ADAM12;PFN2;IGFBP3;DST;LAMA2;IGFBP4;CXCL12;MYLK;EFEMP2;SERPINH1;NNMT;SPARC;CDH11;DCN;SPOCK1;SLIT2;BMP1;PCOLCE;COL6A3;MGP;FBN2;TAGLN;ITGB5;SFRP1;LOXL2;FN1;FSTL3;CCN2;NID2;LGALS1;ITGA2;COL16A1;EDIL3;TFPI2;PMEPA1;INHBA;FAP;EMP3;SERPINE2;VCAN;PMP22;GEM;COL7A1;LRRC15;CDH2;GADD45B;SLC6A8;COL6A2;CCN1
GO-BP,Collagen Fibril Organization (GO:0030199),-0.7682800658624314,-2.5025362984981214,0.0,0.0,LOXL1;COL1A1;COL3A1;COL1A2;COL5A2;LUM;LOX;COL11A1;COL12A1;COL5A1;COL27A1;CYP1B1;SERPINH1;DDR2;PXDN;BMP1;NF1;LOXL2
GO-BP,Macromolecule Biosynthetic Process (GO:0009059),-0.5577327800166545,-2.4303280167838577,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPLP1;RPL28;RPS26;RPSA;RPL27A;RPL13;RPL21;RPS11;GAL3ST4;GCNT1;RPS14;RPS5;RPL17;RPL10;MRPL35;RPS13;RPL41;RPS10;COL5A1;RPS17;RPL6;RPL8;RPL4;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;EEF1A1;RPL10A;EEF1G;RPL15;RPL7;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;RPS18;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;EXT1;RPL29;RPL14;RPL19;INHBA;RPS28;RPL38
GO-BP,Sterol Biosynthetic Process (GO:0016126),0.7243413741929005,2.4193798618932076,0.0,0.0,CH25H;INSIG1;CYP51A1;MVD;G6PD;HSD17B7;DHCR24;ACLY;HMGCR;HMGCS1;LSS;MSMO1;LBR;PRKAG2;SQLE;FDFT1;CES1
GO-BP,Cholesterol Biosynthetic Process (GO:0006695),0.7241337027890968,2.3494774830502223,0.0,0.0,INSIG1;CYP51A1;MVD;G6PD;HSD17B7;DHCR24;ACLY;HMGCR;HMGCS1;LSS;MSMO1;LBR;FDFT1;SC5D;CES1
Reactome,Peptide Chain Elongation R-HSA-156902,-0.7639085176580896,-3.019893932126314,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;EEF1A1;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;RPL22L1;RPL31;RPL7A
KEGG,Pentose phosphate pathway,0.6964912888987184,2.2075919912641444,0.0,0.0,TKT;TALDO1;PGM2;PRPS2;PRPS1;G6PD;PGD;ALDOA;H6PD;GPI;PFKP
KEGG,Coronavirus disease,-0.5556881502406967,-2.4848129993273456,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPS26;EGFR;RPS10-NUDT3;F13A1;RPSA;RPL27A;TLR4;RPL13;RPL21;RPS11;RPS14;RPS5;RPL17;RPL10;RPS13;RPL41;CFD;RPS10;C1QB;RPS17;RPL6;RPL8;RPL4;RPL36A;C2;RPS20;RPL35;RPL3;C3;RPL35A;RPL39;MAPK12;RPL13A;RPS29;RPS25;C1S;RPS3A;RPL10A;RPL15;RPL7;IL6ST;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;PLCG2;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;CGAS;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPS18;RPL36;PIK3R3;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPL36A-HNRNPH2;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38
KEGG,Ribosome,-0.6634441000671597,-2.8161010556497876,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPS26;RPS10-NUDT3;RPSA;RPL27A;RPL13;RPL21;RPS11;RPS14;RPS5;RPL17;RPL10;MRPL35;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL24;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBA52;RPS18;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPL36A-HNRNPH2;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;MRPL16;MRPL20;RPL22L1;RPL31;RPL7A;MRPL2
Reactome,Collagen Chain Trimerization R-HSA-8948216,-0.7533622963501012,-2.3211814651765366,0.0,0.0,COL1A1;COL3A1;COL1A2;COL4A1;COL5A2;COL11A1;COL4A2;COL12A1;COL5A1;COL27A1;COL24A1;COL8A1;COL6A3;COL16A1;COL18A1;COL15A1;COL7A1;COL6A2;COL6A6
Reactome,SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,-0.6607280591910297,-2.3241700382385306,0.0,0.0,RPS4Y1;RPS19;RPS12;RPSA;RPS11;RPS14;RPS5;RPS13;RPS10;RPS17;RPS20;RPS29;RPS25;RPS3A;RPS7;RPS2;RPS27A;RPS16;RPS21;RPS8;RPS23;RPS27;RPS24;RPS6;RPS15A;RPS28;SNRPE
Reactome,Signaling By ROBO Receptors R-HSA-376176,-0.5413509785018125,-2.420459139878832,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;NCK2;RPS13;RPL41;RPS10;ELOB;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;PFN2;RPL3;RPL35A;RPL39;ABL1;RPL13A;RPS29;RPS25;RPS3A;CXCL12;PKN2;RBX1;RPL10A;SLIT2;RPL15;RPL7;RPL32;RPS7;LDB2;RPS2;PRKACB;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBB;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;ZSWIM8;RPLP0;RPS6;PSME4;RPS15A;PSMB6;RPL29;RPL14;RPL19;RPS28;PSMB3;RPL38;PSMD5;ROBO1;RPL22L1;RPL31;RPL7A;SRGAP1;NRP1;PSMB4;RPS15;RPL11;CLASP1;ARHGEF7;RPL22
Reactome,Influenza Infection R-HSA-168255,-0.5600474246207288,-2.445052898627994,0.0,0.0,RPS4Y1;RPS19;RPL18A;HSPA1A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;POLR2I;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;POLR2A
Reactome,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,-0.5775939205877337,-2.5151713712257746,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;ELOB;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RBX1;RPL10A;SLIT2;RPL15;RPL7;RPL32;RPS7;LDB2;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;RPS23;RPL27;UBB;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;ZSWIM8;RPLP0;RPS6;PSME4;RPS15A;PSMB6;RPL29;RPL14;RPL19;RPS28;PSMB3;RPL38;PSMD5;ROBO1;RPL22L1;RPL31;RPL7A
Reactome,Influenza Viral RNA Transcription And Replication R-HSA-168273,-0.6022227271818271,-2.568431635971122,0.0,0.0,RPS4Y1;RPS19;RPL18A;RPS12;RPL23;RPLP1;RPL28;RPSA;RPL27A;RPL21;RPS11;RPS14;RPS5;RPS13;RPL41;RPS10;RPS17;RPL6;RPL8;RPL4;RPL36A;RPS20;RPL35;RPL3;RPL35A;RPL39;RPL13A;RPS29;RPS25;RPS3A;RPL10A;RPL15;RPL7;RPL32;RPS7;RPS2;RPL34;RPL37;RPS27A;RPL37A;RPL12;RPS16;RPS21;RPL30;RPL26;RPL23A;RPS8;POLR2I;RPS23;RPL27;UBA52;RPL36;RPLP2;RPS27;RPS24;RPL18;RPL5;RPLP0;RPS6;RPS15A;RPL29;RPL14;RPL19;RPS28;RPL38;POLR2A
